q,side,rank,ticker,net_M,buy_M,sell_M
2021Q3,매도,10,?GLOBAL X CHINA,-15,138,153
2021Q4,매수,1,TSLA,1553,6565,5012
2021Q4,매수,2,NVDA,838,2391,1553
2021Q4,매수,3,TQQQ,439,2347,1908
2021Q4,매수,4,META,393,1119,726
2021Q4,매수,5,MSFT,371,992,621
2021Q4,매수,6,RIVN,274,928,654
2021Q4,매수,7,IONQ,274,698,424
2021Q4,매수,8,GOOGL,217,827,610
2021Q4,매수,9,LCID,215,2335,2120
2021Q4,매수,10,ASML,197,658,460
2021Q4,매도,1,AMZN,-211,564,775
2021Q4,매도,2,?GLOBAL X CHINA,-46,291,337
2021Q4,매도,3,MRNA,-43,352,395
2021Q4,매도,4,?BMO MICROSECTO,-36,138,174
2021Q4,매도,5,BA,-26,246,272
2021Q4,매도,6,?AMC ENTERTAINM,-24,298,322
2021Q4,매도,7,SHV,-19,72,90
2021Q4,매도,8,PLUG,-8,226,234
2021Q4,매도,9,DJT,-8,315,323
2021Q4,매도,10,OCGN,-2,68,70
2022Q1,매수,1,TQQQ,1140,4186,3046
2022Q1,매수,2,TSLA,1003,6297,5295
2022Q1,매수,3,SOXL,561,3080,2519
2022Q1,매수,4,AAPL,522,1798,1276
2022Q1,매수,5,NVDA,446,1979,1533
2022Q1,매수,6,MSFT,421,1111,691
2022Q1,매수,7,GOOGL,371,1009,637
2022Q1,매수,8,SPY,278,546,268
2022Q1,매수,9,QQQ,223,602,379
2022Q1,매수,10,?HANG SENG CHIN,213,256,43
2022Q1,매도,1,BABA,-41,161,201
2022Q1,매도,2,?BMO MICROSECTO,-38,97,135
2022Q1,매도,3,AMZN,-26,456,483
2022Q1,매도,4,TSM,-23,134,157
2022Q1,매도,5,BA,-8,109,117
2022Q1,매도,6,?PROSHARES ULTR,-5,76,81
2022Q1,매도,7,GME,-4,69,74
2022Q1,매도,8,?GLOBAL X CHINA,-3,38,41
2022Q1,매도,9,BOIL,-1,41,41
2022Q1,매도,10,UVXY,0,376,377
2022Q2,매수,1,TSLA,1219,5516,4297
2022Q2,매수,2,TQQQ,948,3906,2958
2022Q2,매수,3,SOXL,758,2878,2120
2022Q2,매수,4,NVDA,382,1213,831
2022Q2,매수,5,AAPL,194,1055,861
2022Q2,매수,6,IONQ,177,323,145
2022Q2,매수,7,GOOGL,168,732,563
